C0036205	MONDO:0001708
C0036220	MONDO:0005055
C0036231	MONDO:0018903
C0036262	MONDO:0004525
C0036285	MONDO:0005952
C0036310	MONDO:0008410
C0036323	MONDO:0015254
C0036391	MONDO:0009717
C0036400	MONDO:0015987
C0036413	MONDO:0006606
C0036420	MONDO:0019562
C0036421	MONDO:0005100
C0036472	MONDO:0019365
C0036474	MONDO:0009412
C0036489	MONDO:0010017
C0036689	MONDO:0021783
C0036850	MONDO:0005957
C0036916	MONDO:0021681
C0036917	MONDO:0005323
C0036918	MONDO:0021682
C0036969	MONDO:0005925
C0036996	MONDO:0015461
C0037018	MONDO:0002783
C0037052	MONDO:0001823
C0037118	MONDO:0021804
C0037199	MONDO:0005961
C0037205	MONDO:0017850
C0037231	MONDO:0010031
C0037278	MONDO:0021201
C0037280	MONDO:0024610
C0037354	MONDO:0004651
C0037661	MONDO:0006976
C0037753	MONDO:0005963
C0037769	MONDO:0018097
C0037856	MONDO:0008541
C0037886	MONDO:0005964
C0037899	MONDO:0019255
C0037974	MONDO:0021839
C0038013	MONDO:0005306
C0038015	MONDO:0016761
C0038016	MONDO:0008475
C0038034	MONDO:0005968
C0038159	MONDO:0005971
C0038160	MONDO:0024313
C0038165	MONDO:0018181
C0038325	MONDO:0018229
C0038358	MONDO:0001126
C0038395	MONDO:0021680
C0038463	MONDO:0005974
C0038478	MONDO:0006980
C0038522	MONDO:0009835
C0038531	MONDO:0006983
C0038539	MONDO:0006984
C0038587	MONDO:0005567
C0038828	MONDO:0002687
C0038833	MONDO:0043287
C0038868	MONDO:0019037
C0038994	MONDO:0007753
C0039075	MONDO:0021002
C0039082	MONDO:0002254
C0039103	MONDO:0002400
C0039106	MONDO:0024686
C0039128	MONDO:0005976
C0039130	MONDO:0004911
C0039131	MONDO:0005714
C0039132	MONDO:0006718
C0039133	MONDO:0005822
C0039223	MONDO:0005977
C0039254	MONDO:0000367
C0039263	MONDO:0017991
C0039292	MONDO:0008783
C0039319	MONDO:0006994
C0039373	MONDO:0010100
C0039445	MONDO:0019180
C0039496	MONDO:0021895
C0039503	MONDO:0004857
C0039520	MONDO:0004855
C0039584	MONDO:0002329
C0039585	MONDO:0019154
C0039590	MONDO:0021348
C0039614	MONDO:0005526
C0039685	MONDO:0008542
C0039743	MONDO:0017042
C0039753	MONDO:0005978
C0039984	MONDO:0005979
C0040015	MONDO:0100326
C0040127	MONDO:0006996
C0040136	MONDO:0015074
C0040147	MONDO:0004126
C0040149	MONDO:0006982
C0040150	MONDO:0001947
C0040156	MONDO:0010138
C0040196	MONDO:0005980
C0040197	MONDO:0005981
C0040213	MONDO:0001858
C0040247	MONDO:0005982
C0040249	MONDO:0001827
C0040252	MONDO:0001461
C0040254	MONDO:0005983
C0040255	MONDO:0000245
C0040259	MONDO:0005984
C0040261	MONDO:0001628
C0040262	MONDO:0005915
C0040361	MONDO:0005985
C0040381	MONDO:0018983
C0040457	MONDO:0008533
C0040485	MONDO:0008583
C0040517	MONDO:0007661
C0040522	MONDO:0005987
C0040553	MONDO:0005988
C0040558	MONDO:0005989
